cluster_number,ikc_mcount,ikc_size,aoc_m_mcount,aoc_m_size,aoc_k_mcount,aoc_k_size
1,24,36305,49,37469,211,98219
2,39,12451,44,12463,140,51553
3,167,170413,434,190427,733,265681
4,416,214877,951,293509,966,316185
5,1,10678,5,12419,14,14658
6,9,7207,9,7284,58,20893
7,0,2795,0,3406,0,3469
8,0,3406,0,3579,4,4422
9,2,4497,3,4583,12,8599
10,0,406,0,485,1,736
11,0,1684,0,1752,4,3234
12,3,20076,6,20335,40,55113
13,1,3419,3,3597,9,4731
14,0,124,0,124,1,450
15,0,9289,2,12942,2,12942
16,11,7528,20,8790,37,11093
17,0,206,0,219,0,230
18,0,2004,0,2004,18,15623
19,0,2460,0,2489,3,5954
20,18,5478,76,6220,152,8509
21,1,2553,1,2595,3,4961
22,0,408,0,408,2,1004
23,0,2343,0,2606,2,3035
24,6,2575,15,2690,52,6350
25,310,1869,310,1871,710,9241
26,0,133,0,138,0,182
27,0,125,0,136,0,156
28,0,96,0,96,0,113
29,0,421,0,426,0,923
30,1,470,1,484,1,1082
31,0,40,0,47,0,47
32,0,517,0,678,0,695
33,0,135,0,139,0,189
34,0,237,0,239,3,612
35,0,210,0,210,0,920
36,0,84,0,85,0,86
37,11,276,12,278,28,1344
38,0,250,0,251,0,284
39,0,251,0,313,0,332
40,0,248,0,256,0,568
41,0,79,0,80,0,123
42,0,38,0,40,0,41
43,0,80,0,80,0,83
44,0,49,0,49,0,49
45,0,37,0,37,0,37
46,0,234,0,272,0,304
47,0,47,0,48,0,48
48,0,99,0,101,0,139
49,0,103,0,105,0,140
50,0,312,0,325,1,396
51,0,181,0,182,0,193
52,0,28,0,31,0,31
53,0,561,0,562,1,1217
54,0,18,0,18,0,18
55,0,128,0,129,0,155
56,0,44,0,44,0,44
57,0,100,0,109,0,109
58,0,138,0,138,0,165
59,0,73,0,73,0,93
60,0,37,0,37,0,37
61,0,21,0,21,0,21
62,0,72,0,86,0,87
63,0,245,0,245,0,901
64,0,53,0,73,0,75
65,0,41,0,42,0,42
66,1,144,1,144,3,512
67,0,23,0,31,0,31
68,0,106,0,110,0,144
69,0,244,0,244,0,259
70,0,45,0,48,0,48
71,0,96,0,111,0,116
72,0,37,0,40,0,40
73,0,31,0,32,0,33
74,0,151,0,162,0,253
75,0,26,0,30,0,30
76,0,315,0,318,0,700
77,0,147,0,147,0,524
78,0,169,0,170,0,474
79,0,46,0,56,0,66
80,0,49,0,50,0,73
81,0,42,0,46,0,53
82,0,79,0,87,0,112
83,0,123,0,138,0,210
84,0,31,0,31,0,34
85,0,26,0,26,0,26
86,0,137,0,150,0,210
87,0,43,0,43,0,47
88,0,39,2,41,2,41
89,0,53,0,55,0,55
90,0,60,0,61,0,112
91,0,170,0,186,0,186
92,0,80,0,80,0,81
93,0,19,0,19,0,19
94,0,42,0,47,0,50
95,0,58,0,59,0,61
96,0,49,0,53,0,56
97,0,28,0,31,0,34
98,0,67,0,68,0,74
99,0,28,0,28,0,28
100,0,35,0,41,0,43
101,0,16,0,16,0,16
102,0,42,0,54,0,57
103,0,14,0,16,0,16
104,0,45,0,48,0,49
105,0,37,0,41,0,41
106,0,64,0,64,0,64
107,0,91,0,91,0,100
108,0,14,0,14,0,14
109,0,30,0,31,0,34
110,0,28,0,32,0,32
111,0,46,0,48,0,52
112,0,49,0,54,0,54
113,0,22,0,22,0,22
114,0,37,0,52,0,58
115,0,24,0,25,0,28
116,0,66,2,74,7,94
117,0,50,0,54,0,69
118,0,25,0,25,0,25
119,0,35,0,35,0,35
120,0,18,0,18,0,18
121,0,19,0,23,0,23
122,0,28,0,32,0,34
123,0,30,0,31,0,31
124,0,21,0,26,0,26
125,0,37,0,38,0,55
126,0,28,0,37,0,37
127,0,21,0,21,0,21
128,0,28,0,30,0,30
